,State,Latitude,Longitude,amountPerPupil
37,Alabama,32.3182314,-86.902298,9696
3,Alaska,64.2008413,-149.4936733,17726
47,Arizona,34.0489281,-111.0937311,8239
35,Arkansas,35.20105,-91.8318334,10139
18,California,36.778261,-119.4179324,12498
34,Colorado,39.5500507,-105.7820674,10202
1,Connecticut,41.6032207,-73.087749,20635
10,Delaware,38.9108325,-75.5276699,15639
43,Florida,27.6648274,-81.5157535,9346
32,Georgia,32.1656221,-82.9000751,10810
11,Hawaii,19.8967662,-155.5827818,15242
48,Idaho,44.0682019,-114.7420408,7771
9,Illinois,40.6331249,-89.3985283,15741
33,Indiana,40.2671941,-86.1349019,10262
24,Iowa,41.8780025,-93.097702,11732
26,Kansas,39.011902,-98.4842465,11653
29,Kentucky,37.8393332,-84.2700179,11110
27,Louisiana,30.9842977,-91.9623327,11452
13,Maine,45.253783,-69.4454689,14145
12,Maryland,39.0457549,-76.6412712,14762
4,Massachusetts,42.4072107,-71.3824374,17058
20,Michigan,44.3148443,-85.6023643,12345
17,Minnesota,46.729553,-94.6858998,12975
45,Mississippi,32.3546679,-89.3985283,8935
31,Missouri,37.9642529,-91.8318334,10810
25,Montana,46.8796822,-110.3625658,11680
19,Nebraska,41.4925374,-99.9018131,12491
41,Nevada,38.8026097,-116.419389,9417
5,New Hampshire,43.1938516,-71.5723953,16893
2,New Jersey,40.0583238,-74.4056612,20021
39,New Mexico,34.5199402,-105.8700901,9582
0,New York,40.7127753,-74.0059728,24040
42,North Carolina,35.7595731,-79.0192997,9377
14,North Dakota,47.5514926,-101.0020119,13758
15,Ohio,40.4172871,-82.907123,13027
46,Oklahoma,35.0077519,-97.092877,8239
23,Oregon,43.8041334,-120.5542012,11920
6,Pennsylvania,41.2033216,-77.1945247,16395
8,Rhode Island,41.5800945,-71.4774291,16121
30,South Carolina,33.836081,-81.1637245,10856
36,South Dakota,43.9695148,-99.9018131,10073
40,Tennessee,35.5174913,-86.5804473,9544
38,Texas,31.9685988,-99.9018131,9606
49,Utah,39.3209801,-111.0937311,7628
44,Vermont,44.5588028,-72.5778415,9340
22,Virginia,37.4315734,-78.6568942,12216
16,Washington,47.7510741,-120.7401385,12995
28,West Virginia,38.5976262,-80.4549026,11334
21,Wisconsin,43.7844397,-88.7878678,12285
7,Wyoming,43.0759678,-107.2902839,16224
